#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:34:20
# Real time (s): 530.628
# Live time (s): 300.000
#
# Total counts:  36992665
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  1173
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
505	1006.174	31	0.103333
506	1008.216	30	0.1
507	1010.259	23	0.0766667
508	1012.301	41	0.136667
509	1014.343	49	0.163333
510	1016.385	50	0.166667
511	1018.427	47	0.156667
512	1020.469	51	0.17
513	1022.512	52	0.173333
514	1024.554	63	0.21
515	1026.596	67	0.223333
516	1028.638	71	0.236667
517	1030.680	79	0.263333
518	1032.722	89	0.296667
519	1034.765	90	0.3
520	1036.807	113	0.376667
521	1038.849	110	0.366667
522	1040.891	116	0.386667
523	1042.933	108	0.36
524	1044.975	136	0.453333
525	1047.018	139	0.463333
526	1049.060	139	0.463333
527	1051.102	141	0.47
528	1053.144	162	0.54
529	1055.186	141	0.47
530	1057.228	152	0.506667
531	1059.271	166	0.553333
532	1061.313	160	0.533333
533	1063.355	172	0.573333
534	1065.397	153	0.51
535	1067.439	152	0.506667
536	1069.481	163	0.543333
537	1071.524	140	0.466667
538	1073.566	184	0.613333
539	1075.608	152	0.506667
540	1077.650	123	0.41
541	1079.692	134	0.446667
542	1081.734	122	0.406667
543	1083.777	135	0.45
544	1085.819	123	0.41
545	1087.861	134	0.446667
546	1089.903	120	0.4
547	1091.945	94	0.313333
548	1093.987	82	0.273333
549	1096.030	68	0.226667
550	1098.072	80	0.266667
551	1100.114	65	0.216667
552	1102.156	56	0.186667
553	1104.198	57	0.19
554	1106.240	39	0.13
555	1108.283	56	0.186667
556	1110.325	46	0.153333
557	1112.367	23	0.0766667
558	1114.409	31	0.103333
559	1116.451	26	0.0866667
560	1118.493	19	0.0633333
561	1120.536	21	0.07
562	1122.578	16	0.0533333
563	1124.620	13	0.0433333
564	1126.662	13	0.0433333
565	1128.704	7	0.0233333
566	1130.746	10	0.0333333
567	1132.789	6	0.02
568	1134.831	10	0.0333333
569	1136.873	9	0.03
570	1138.915	7	0.0233333
571	1140.957	4	0.0133333
572	1142.999	7	0.0233333
573	1145.042	3	0.01
574	1147.084	4	0.0133333
575	1149.126	3	0.01
576	1151.168	2	0.00666667
577	1153.210	6	0.02
578	1155.252	2	0.00666667
579	1157.295	2	0.00666667
580	1159.337	0	0
581	1161.379	1	0.00333333
582	1163.421	1	0.00333333
583	1165.463	4	0.0133333
584	1167.505	6	0.02
585	1169.548	5	0.0166667
586	1171.590	3	0.01
587	1173.632	2	0.00666667
588	1175.674	2	0.00666667
589	1177.716	0	0
590	1179.758	5	0.0166667
591	1181.801	3	0.01
592	1183.843	3	0.01
593	1185.885	1	0.00333333
594	1187.927	4	0.0133333
595	1189.969	6	0.02
596	1192.011	2	0.00666667
597	1194.054	2	0.00666667
598	1196.096	2	0.00666667
599	1198.138	1	0.00333333
600	1200.180	3	0.01
601	1202.222	0	0
602	1204.264	1	0.00333333
603	1206.307	3	0.01
604	1208.349	5	0.0166667
605	1210.391	3	0.01
606	1212.433	2	0.00666667
607	1214.475	4	0.0133333
