#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:56:12
# Real time (s): 551.195
# Live time (s): 300.000
#
# Total counts:  38592908
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  81372
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
619	1238.981	1926	6.42
620	1241.023	1935	6.45
621	1243.066	1927	6.42333
622	1245.108	1838	6.12667
623	1247.150	1828	6.09333
624	1249.192	1733	5.77667
625	1251.234	1862	6.20667
626	1253.276	1846	6.15333
627	1255.319	1797	5.99
628	1257.361	1840	6.13333
629	1259.403	1907	6.35667
630	1261.445	1886	6.28667
631	1263.487	1819	6.06333
632	1265.529	1799	5.99667
633	1267.572	1835	6.11667
634	1269.614	1844	6.14667
635	1271.656	1765	5.88333
636	1273.698	1801	6.00333
637	1275.740	1742	5.80667
638	1277.782	1762	5.87333
639	1279.825	1799	5.99667
640	1281.867	1834	6.11333
641	1283.909	1712	5.70667
642	1285.951	1839	6.13
643	1287.993	1764	5.88
644	1290.035	1790	5.96667
645	1292.078	1722	5.74
646	1294.120	1764	5.88
647	1296.162	1765	5.88333
648	1298.204	1820	6.06667
649	1300.246	1806	6.02
650	1302.288	1773	5.91
651	1304.331	1709	5.69667
652	1306.373	1791	5.97
653	1308.415	1741	5.80333
654	1310.457	1794	5.98
655	1312.499	1813	6.04333
656	1314.541	1813	6.04333
657	1316.584	1742	5.80667
658	1318.626	1761	5.87
659	1320.668	1782	5.94
660	1322.710	1822	6.07333
661	1324.752	1797	5.99
662	1326.794	1694	5.64667
663	1328.837	1782	5.94
664	1330.879	1693	5.64333
665	1332.921	1768	5.89333
666	1334.963	1700	5.66667
667	1337.005	1614	5.38
668	1339.047	1653	5.51
669	1341.090	1647	5.49
670	1343.132	1673	5.57667
671	1345.174	1633	5.44333
672	1347.216	1723	5.74333
673	1349.258	1627	5.42333
674	1351.300	1656	5.52
675	1353.343	1584	5.28
676	1355.385	1623	5.41
677	1357.427	1631	5.43667
678	1359.469	1550	5.16667
679	1361.511	1535	5.11667
680	1363.554	1530	5.1
681	1365.596	1503	5.01
682	1367.638	1518	5.06
683	1369.680	1499	4.99667
684	1371.722	1435	4.78333
685	1373.764	1478	4.92667
686	1375.807	1429	4.76333
687	1377.849	1340	4.46667
688	1379.891	1440	4.8
689	1381.933	1418	4.72667
690	1383.975	1363	4.54333
691	1386.017	1306	4.35333
692	1388.060	1329	4.43
693	1390.102	1322	4.40667
694	1392.144	1362	4.54
695	1394.186	1257	4.19
696	1396.228	1299	4.33
697	1398.270	1323	4.41
698	1400.313	1359	4.53
699	1402.355	1334	4.44667
700	1404.397	1318	4.39333
701	1406.439	1330	4.43333
702	1408.481	1401	4.67
703	1410.523	1411	4.70333
704	1412.566	1524	5.08
705	1414.608	1553	5.17667
706	1416.650	1643	5.47667
707	1418.692	1662	5.54
708	1420.734	1690	5.63333
709	1422.776	1848	6.16
710	1424.819	1951	6.50333
711	1426.861	2034	6.78
712	1428.903	2170	7.23333
713	1430.945	2262	7.54
714	1432.987	2413	8.04333
715	1435.029	2504	8.34667
716	1437.072	2726	9.08667
717	1439.114	2922	9.74
718	1441.156	3060	10.2
719	1443.198	3249	10.83
720	1445.240	3376	11.2533
721	1447.282	3647	12.1567
722	1449.325	3845	12.8167
723	1451.367	3942	13.14
724	1453.409	4169	13.8967
725	1455.451	4463	14.8767
726	1457.493	4610	15.3667
727	1459.535	4897	16.3233
728	1461.578	5070	16.9
729	1463.620	5196	17.32
