#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:22:19
# Real time (s): 535.334
# Live time (s): 300.000
#
# Total counts:  37052941
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  34545
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
417	826.463	555	1.85
418	828.506	559	1.86333
419	830.548	533	1.77667
420	832.590	554	1.84667
421	834.632	587	1.95667
422	836.674	551	1.83667
423	838.716	559	1.86333
424	840.759	540	1.8
425	842.801	554	1.84667
426	844.843	584	1.94667
427	846.885	594	1.98
428	848.927	605	2.01667
429	850.969	564	1.88
430	853.012	591	1.97
431	855.054	578	1.92667
432	857.096	568	1.89333
433	859.138	550	1.83333
434	861.180	561	1.87
435	863.222	546	1.82
436	865.265	615	2.05
437	867.307	584	1.94667
438	869.349	613	2.04333
439	871.391	626	2.08667
440	873.433	597	1.99
441	875.475	633	2.11
442	877.518	595	1.98333
443	879.560	646	2.15333
444	881.602	626	2.08667
445	883.644	586	1.95333
446	885.686	606	2.02
447	887.728	622	2.07333
448	889.771	610	2.03333
449	891.813	658	2.19333
450	893.855	657	2.19
451	895.897	614	2.04667
452	897.939	630	2.1
453	899.981	666	2.22
454	902.024	644	2.14667
455	904.066	697	2.32333
456	906.108	641	2.13667
457	908.150	656	2.18667
458	910.192	625	2.08333
459	912.235	629	2.09667
460	914.277	642	2.14
461	916.319	623	2.07667
462	918.361	647	2.15667
463	920.403	655	2.18333
464	922.445	627	2.09
465	924.488	598	1.99333
466	926.530	622	2.07333
467	928.572	677	2.25667
468	930.614	639	2.13
469	932.656	632	2.10667
470	934.698	627	2.09
471	936.741	659	2.19667
472	938.783	647	2.15667
473	940.825	679	2.26333
474	942.867	612	2.04
475	944.909	637	2.12333
476	946.951	595	1.98333
477	948.994	641	2.13667
478	951.036	648	2.16
479	953.078	655	2.18333
480	955.120	625	2.08333
481	957.162	666	2.22
482	959.204	635	2.11667
483	961.247	600	2
484	963.289	610	2.03333
485	965.331	642	2.14
486	967.373	609	2.03
487	969.415	626	2.08667
488	971.457	600	2
489	973.500	613	2.04333
490	975.542	623	2.07667
491	977.584	655	2.18333
492	979.626	632	2.10667
493	981.668	606	2.02
494	983.710	643	2.14333
495	985.753	577	1.92333
496	987.795	624	2.08
497	989.837	621	2.07
498	991.879	639	2.13
499	993.921	633	2.11
500	995.963	623	2.07667
501	998.006	636	2.12
502	1000.048	654	2.18
503	1002.090	564	1.88
504	1004.132	610	2.03333
505	1006.174	651	2.17
506	1008.216	619	2.06333
507	1010.259	576	1.92
508	1012.301	569	1.89667
509	1014.343	596	1.98667
510	1016.385	573	1.91
511	1018.427	617	2.05667
512	1020.469	585	1.95
513	1022.512	616	2.05333
514	1024.554	562	1.87333
515	1026.596	569	1.89667
516	1028.638	618	2.06
517	1030.680	594	1.98
518	1032.722	633	2.11
519	1034.765	641	2.13667
520	1036.807	590	1.96667
521	1038.849	601	2.00333
