#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-09-13, 14:35:32
# Real time (s): 516.628
# Live time (s): 300.000
#
# Total counts:  33020397
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  881395
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
434	861.180	129	0.43
435	863.222	116	0.386667
436	865.265	125	0.416667
437	867.307	136	0.453333
438	869.349	144	0.48
439	871.391	128	0.426667
440	873.433	142	0.473333
441	875.475	142	0.473333
442	877.518	144	0.48
443	879.560	127	0.423333
444	881.602	139	0.463333
445	883.644	130	0.433333
446	885.686	117	0.39
447	887.728	133	0.443333
448	889.771	150	0.5
449	891.813	144	0.48
450	893.855	133	0.443333
451	895.897	114	0.38
452	897.939	140	0.466667
453	899.981	158	0.526667
454	902.024	149	0.496667
455	904.066	152	0.506667
456	906.108	156	0.52
457	908.150	138	0.46
458	910.192	143	0.476667
459	912.235	134	0.446667
460	914.277	151	0.503333
461	916.319	160	0.533333
462	918.361	145	0.483333
463	920.403	152	0.506667
464	922.445	142	0.473333
465	924.488	156	0.52
466	926.530	146	0.486667
467	928.572	140	0.466667
468	930.614	146	0.486667
469	932.656	152	0.506667
470	934.698	161	0.536667
471	936.741	128	0.426667
472	938.783	109	0.363333
473	940.825	118	0.393333
474	942.867	117	0.39
475	944.909	131	0.436667
476	946.951	132	0.44
477	948.994	106	0.353333
478	951.036	119	0.396667
479	953.078	144	0.48
480	955.120	109	0.363333
481	957.162	113	0.376667
482	959.204	121	0.403333
483	961.247	95	0.316667
484	963.289	112	0.373333
485	965.331	113	0.376667
486	967.373	112	0.373333
487	969.415	109	0.363333
488	971.457	87	0.29
489	973.500	95	0.316667
490	975.542	95	0.316667
491	977.584	79	0.263333
492	979.626	95	0.316667
493	981.668	71	0.236667
494	983.710	83	0.276667
495	985.753	75	0.25
496	987.795	103	0.343333
497	989.837	69	0.23
498	991.879	72	0.24
499	993.921	82	0.273333
500	995.963	71	0.236667
501	998.006	69	0.23
502	1000.048	68	0.226667
503	1002.090	67	0.223333
504	1004.132	54	0.18
505	1006.174	57	0.19
506	1008.216	64	0.213333
507	1010.259	57	0.19
508	1012.301	58	0.193333
509	1014.343	62	0.206667
510	1016.385	63	0.21
511	1018.427	59	0.196667
512	1020.469	73	0.243333
513	1022.512	46	0.153333
514	1024.554	50	0.166667
515	1026.596	49	0.163333
516	1028.638	48	0.16
517	1030.680	61	0.203333
518	1032.722	43	0.143333
519	1034.765	45	0.15
520	1036.807	45	0.15
521	1038.849	36	0.12
522	1040.891	43	0.143333
523	1042.933	47	0.156667
524	1044.975	39	0.13
525	1047.018	46	0.153333
526	1049.060	44	0.146667
527	1051.102	32	0.106667
528	1053.144	32	0.106667
529	1055.186	30	0.1
530	1057.228	40	0.133333
531	1059.271	48	0.16
532	1061.313	35	0.116667
533	1063.355	34	0.113333
534	1065.397	31	0.103333
535	1067.439	29	0.0966667
536	1069.481	30	0.1
537	1071.524	23	0.0766667
